,Kernel,Gamma,Cost,Accuracy,,,,,,,,,,,,,,,,,,
245,Polynomial,2,8,38.41059603,,,,,,,,,,,,,,,,,,
246,Polynomial,2,32,37.74834437,,,,,,,,,,,,,,,,,,
247,Polynomial,2,128,37.08609272,,,,,,,,,,,,,,,,,,
248,Polynomial,2,512,39.07284768,,,,,,,,,,,,,,,,,,
249,Polynomial,2,2048,37.08609272,,,,,,,,,,,,,,,,,,
250,Polynomial,2,8192,35.09933775,,,,,,,,,,,,,,,,,,
251,Polynomial,2,32768,35.09933775,,,,,,,,,,,,,,,,,,
252,Polynomial,8,0.03125,35.09933775,,,,,,,,,,,,,,,,,,
253,Polynomial,8,0.125,35.7615894,,,,,,,,,,,,,,,,,,
254,Polynomial,8,0.5,35.09933775,,,,,,,,,,,,,,,,,,
255,Polynomial,8,1,35.09933775,,,,,,,,,,,,,,,,,,
256,Polynomial,8,2,37.08609272,,,,,,,,,,,,,,,,,,
257,Polynomial,8,8,39.07284768,,,,,,,,,,,,,,,,,,
258,Polynomial,8,32,36.42384106,,,,,,,,,,,,,,,,,,
259,Polynomial,8,128,38.41059603,,,,,,,,,,,,,,,,,,
260,Polynomial,8,512,36.42384106,,,,,,,,,,,,,,,,,,
261,Polynomial,8,2048,35.09933775,,,,,,,,,,,,,,,,,,
262,Polynomial,8,8192,38.41059603,,,,,,,,,,,,,,,,,,
263,Polynomial,8,32768,35.7615894,,,,,,,,,,,,,,,,,,
264,RBF,3.05E-05,0.03125,27.15231788,,,,,,,,,,,,,,,,,,
265,RBF,3.05E-05,0.125,27.15231788,,,,,,,,,,,,,,,,,,
266,RBF,3.05E-05,0.5,27.81456954,,,,,,,,,,,,,,,,,,
267,RBF,3.05E-05,1,29.8013245,,,,,,,,,,,,,,,,,,
268,RBF,3.05E-05,2,29.8013245,,,,,,,,,,,,,,,,,,
269,RBF,3.05E-05,8,29.8013245,,,,,,,,,,,,,,,,,,
270,RBF,3.05E-05,32,29.8013245,,,,,,,,,,,,,,,,,,
271,RBF,3.05E-05,128,29.8013245,,,,,,,,,,,,,,,,,,
272,RBF,3.05E-05,512,29.8013245,,,,,,,,,,,,,,,,,,
273,RBF,3.05E-05,2048,29.8013245,,,,,,,,,,,,,,,,,,
274,RBF,3.05E-05,8192,29.8013245,,,,,,,,,,,,,,,,,,
275,RBF,3.05E-05,32768,29.8013245,,,,,,,,,,,,,,,,,,
276,RBF,0.00012207,0.03125,27.81456954,,,,,,,,,,,,,,,,,,
277,RBF,0.00012207,0.125,27.15231788,,,,,,,,,,,,,,,,,,
278,RBF,0.00012207,0.5,27.81456954,,,,,,,,,,,,,,,,,,
279,RBF,0.00012207,1,29.8013245,,,,,,,,,,,,,,,,,,
280,RBF,0.00012207,2,29.8013245,,,,,,,,,,,,,,,,,,
281,RBF,0.00012207,8,29.8013245,,,,,,,,,,,,,,,,,,
282,RBF,0.00012207,32,29.8013245,,,,,,,,,,,,,,,,,,
283,RBF,0.00012207,128,29.8013245,,,,,,,,,,,,,,,,,,
284,RBF,0.00012207,512,29.8013245,,,,,,,,,,,,,,,,,,
285,RBF,0.00012207,2048,29.8013245,,,,,,,,,,,,,,,,,,
286,RBF,0.00012207,8192,29.8013245,,,,,,,,,,,,,,,,,,
287,RBF,0.00012207,32768,29.8013245,,,,,,,,,,,,,,,,,,
288,RBF,0.000488281,0.03125,27.81456954,,,,,,,,,,,,,,,,,,
289,RBF,0.000488281,0.125,27.15231788,,,,,,,,,,,,,,,,,,
290,RBF,0.000488281,0.5,27.15231788,,,,,,,,,,,,,,,,,,
291,RBF,0.000488281,1,29.8013245,,,,,,,,,,,,,,,,,,
292,RBF,0.000488281,2,29.8013245,,,,,,,,,,,,,,,,,,
293,RBF,0.000488281,8,29.8013245,,,,,,,,,,,,,,,,,,
294,RBF,0.000488281,32,29.8013245,,,,,,,,,,,,,,,,,,
295,RBF,0.000488281,128,29.8013245,,,,,,,,,,,,,,,,,,
296,RBF,0.000488281,512,29.8013245,,,,,,,,,,,,,,,,,,
297,RBF,0.000488281,2048,29.8013245,,,,,,,,,,,,,,,,,,
298,RBF,0.000488281,8192,29.8013245,,,,,,,,,,,,,,,,,,
299,RBF,0.000488281,32768,29.8013245,,,,,,,,,,,,,,,,,,
300,RBF,0.001953125,0.03125,27.81456954,,,,,,,,,,,,,,,,,,
301,RBF,0.001953125,0.125,27.81456954,,,,,,,,,,,,,,,,,,
302,RBF,0.001953125,0.5,28.47682119,,,,,,,,,,,,,,,,,,
303,RBF,0.001953125,1,29.8013245,,,,,,,,,,,,,,,,,,
304,RBF,0.001953125,2,29.8013245,,,,,,,,,,,,,,,,,,
305,RBF,0.001953125,8,29.8013245,,,,,,,,,,,,,,,,,,
306,RBF,0.001953125,32,29.8013245,,,,,,,,,,,,,,,,,,
307,RBF,0.001953125,128,29.8013245,,,,,,,,,,,,,,,,,,
308,RBF,0.001953125,512,29.8013245,,,,,,,,,,,,,,,,,,
309,RBF,0.001953125,2048,29.8013245,,,,,,,,,,,,,,,,,,
310,RBF,0.001953125,8192,29.8013245,,,,,,,,,,,,,,,,,,
311,RBF,0.001953125,32768,29.8013245,,,,,,,,,,,,,,,,,,
312,RBF,0.0078125,0.03125,27.15231788,,,,,,,,,,,,,,,,,,
313,RBF,0.0078125,0.125,27.15231788,,,,,,,,,,,,,,,,,,
314,RBF,0.0078125,0.5,27.15231788,,,,,,,,,,,,,,,,,,
315,RBF,0.0078125,1,29.8013245,,,,,,,,,,,,,,,,,,
316,RBF,0.0078125,2,29.8013245,,,,,,,,,,,,,,,,,,
317,RBF,0.0078125,8,29.8013245,,,,,,,,,,,,,,,,,,
318,RBF,0.0078125,32,29.8013245,,,,,,,,,,,,,,,,,,
319,RBF,0.0078125,128,29.8013245,,,,,,,,,,,,,,,,,,
320,RBF,0.0078125,512,29.8013245,,,,,,,,,,,,,,,,,,
321,RBF,0.0078125,2048,29.8013245,,,,,,,,,,,,,,,,,,
322,RBF,0.0078125,8192,29.8013245,,,,,,,,,,,,,,,,,,
323,RBF,0.0078125,32768,29.8013245,,,,,,,,,,,,,,,,,,
324,RBF,0.03125,0.03125,27.81456954,,,,,,,,,,,,,,,,,,
325,RBF,0.03125,0.125,27.15231788,,,,,,,,,,,,,,,,,,
326,RBF,0.03125,0.5,27.81456954,,,,,,,,,,,,,,,,,,
327,RBF,0.03125,1,29.8013245,,,,,,,,,,,,,,,,,,
328,RBF,0.03125,2,29.8013245,,,,,,,,,,,,,,,,,,
329,RBF,0.03125,8,29.8013245,,,,,,,,,,,,,,,,,,
330,RBF,0.03125,32,29.8013245,,,,,,,,,,,,,,,,,,
331,RBF,0.03125,128,29.8013245,,,,,,,,,,,,,,,,,,
332,RBF,0.03125,512,29.8013245,,,,,,,,,,,,,,,,,,
333,RBF,0.03125,2048,29.8013245,,,,,,,,,,,,,,,,,,
334,RBF,0.03125,8192,29.8013245,,,,,,,,,,,,,,,,,,
335,RBF,0.03125,32768,29.8013245,,,,,,,,,,,,,,,,,,
336,RBF,0.125,0.03125,27.15231788,,,,,,,,,,,,,,,,,,
337,RBF,0.125,0.125,27.15231788,,,,,,,,,,,,,,,,,,
338,RBF,0.125,0.5,27.15231788,,,,,,,,,,,,,,,,,,
339,RBF,0.125,1,29.8013245,,,,,,,,,,,,,,,,,,
340,RBF,0.125,2,29.8013245,,,,,,,,,,,,,,,,,,
341,RBF,0.125,8,29.8013245,,,,,,,,,,,,,,,,,,
342,RBF,0.125,32,29.8013245,,,,,,,,,,,,,,,,,,
343,RBF,0.125,128,29.8013245,,,,,,,,,,,,,,,,,,
344,RBF,0.125,512,29.8013245,,,,,,,,,,,,,,,,,,
345,RBF,0.125,2048,29.8013245,,,,,,,,,,,,,,,,,,
346,RBF,0.125,8192,29.8013245,,,,,,,,,,,,,,,,,,
347,RBF,0.125,32768,29.8013245,,,,,,,,,,,,,,,,,,
348,RBF,0.5,0.03125,27.81456954,,,,,,,,,,,,,,,,,,
349,RBF,0.5,0.125,27.15231788,,,,,,,,,,,,,,,,,,
350,RBF,0.5,0.5,27.81456954,,,,,,,,,,,,,,,,,,
351,RBF,0.5,1,29.8013245,,,,,,,,,,,,,,,,,,
352,RBF,0.5,2,29.8013245,,,,,,,,,,,,,,,,,,
353,RBF,0.5,8,29.8013245,,,,,,,,,,,,,,,,,,
354,RBF,0.5,32,29.8013245,,,,,,,,,,,,,,,,,,
355,RBF,0.5,128,29.8013245,,,,,,,,,,,,,,,,,,
356,RBF,0.5,512,29.8013245,,,,,,,,,,,,,,,,,,
357,RBF,0.5,2048,29.8013245,,,,,,,,,,,,,,,,,,
358,RBF,0.5,8192,29.8013245,,,,,,,,,,,,,,,,,,
359,RBF,0.5,32768,29.8013245,,,,,,,,,,,,,,,,,,
